,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,pd_date,sentiment
0,2022-01-03,175.59702769887747,180.5836189187403,175.47853933527432,179.7245330810547,104487900,0.0,0.0,2022-01-03,"['positive', 'positive', 'positive', 'neutral', 'neutral', 'positive', 'neutral', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'neutral', 'neutral']"
1,2022-01-04,180.33678994658433,180.6428949847129,176.87085402756523,177.44357299804688,99310400,0.0,0.0,2022-01-04,"['neutral', 'positive', 'neutral', 'neutral', 'positive', 'positive', 'positive', 'neutral', 'positive', 'neutral', 'positive', 'neutral', 'neutral', 'negative', 'positive', 'neutral', 'neutral', 'positive', 'positive', 'neutral', 'positive', 'neutral']"
2,2022-01-05,177.35469870642623,177.9076645654721,172.44710410660988,172.7235870361328,94537600,0.0,0.0,2022-01-05,"['neutral', 'neutral', 'neutral', 'neutral', 'positive', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
3,2022-01-06,170.53144774609515,173.0988062453202,169.48476030273352,169.84024047851562,96904000,0.0,0.0,2022-01-06,"['neutral', 'positive', 'neutral', 'neutral', 'neutral', 'neutral', 'negative']"
4,2022-01-07,170.71909340703448,171.95339769017494,168.88244803103385,170.0081329345703,86709100,0.0,0.0,2022-01-07,"['neutral', 'positive', 'neutral', 'neutral']"
5,2022-01-10,166.95692829683819,170.33398284429708,166.0583512059977,170.0278778076172,106765600,0.0,0.0,2022-01-10,"['neutral', 'positive', 'neutral', 'negative', 'neutral', 'neutral', 'positive', 'neutral']"
6,2022-01-11,170.15623842643407,172.98031182878114,168.67507346130364,172.88157653808594,76138300,0.0,0.0,2022-01-11,"['neutral', 'neutral', 'positive', 'negative', 'positive', 'neutral', 'positive']"
7,2022-01-12,173.90853099714386,174.9552186157356,172.62486659981641,173.32594299316406,74805200,0.0,0.0,2022-01-12,"['neutral', 'neutral', 'neutral', 'neutral', 'positive', 'neutral', 'positive']"
8,2022-01-13,173.57279592141052,174.40224474348318,169.63289141578005,170.0278778076172,84505800,0.0,0.0,2022-01-13,"['neutral', 'neutral', 'positive', 'neutral', 'neutral', 'positive', 'positive', 'positive', 'neutral', 'neutral', 'neutral', 'negative', 'neutral', 'neutral', 'negative', 'positive', 'neutral', 'positive']"
9,2022-01-14,169.18851719567388,171.59788105606083,168.9416563914078,170.8968048095703,80440800,0.0,0.0,2022-01-14,"['neutral', 'positive', 'neutral', 'neutral', 'neutral', 'neutral']"
10,2022-01-18,169.35639682120825,170.37346222601772,167.28277490871824,167.66787719726562,90956700,0.0,0.0,2022-01-18,"['negative', 'neutral', 'positive', 'neutral', 'positive', 'positive', 'neutral', 'neutral', 'negative', 'positive']"
11,2022-01-19,167.86536576070108,168.93180636300826,163.85634825975467,164.1427001953125,94815000,0.0,0.0,2022-01-19,"['positive', 'neutral', 'positive', 'neutral', 'neutral']"
12,2022-01-20,164.8832608041295,167.54935442239605,162.1184168392952,162.44427490234375,91420500,0.0,0.0,2022-01-20,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'negative', 'positive', 'neutral', 'neutral', 'neutral', 'positive', 'neutral']"
13,2022-01-21,162.35543751746508,164.24145797528735,160.26206238901995,160.3706817626953,122848900,0.0,0.0,2022-01-21,"['positive', 'neutral', 'neutral', 'positive', 'neutral', 'neutral', 'neutral', 'neutral', 'negative', 'neutral']"
14,2022-01-24,158.0106759831979,160.26204542913388,152.7574705645549,159.590576171875,162294600,0.0,0.0,2022-01-24,"['neutral', 'positive', 'neutral']"
15,2022-01-25,156.98373920776964,160.71627385692008,155.04835868379,157.77369689941406,115798400,0.0,0.0,2022-01-25,"['neutral', 'neutral', 'neutral', 'neutral', 'positive', 'positive', 'negative', 'neutral', 'positive']"
16,2022-01-26,161.4469864345937,162.3258104063819,155.83831548367354,157.68482971191406,108275300,0.0,0.0,2022-01-26,"['positive', 'negative', 'neutral', 'neutral', 'positive', 'neutral']"
17,2022-01-27,160.41015592157893,161.78270146182567,156.29251930083873,157.22071838378906,121954600,0.0,0.0,2022-01-27,"['positive', 'neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'neutral', 'positive', 'neutral']"
18,2022-01-28,163.62923981024903,168.21097622981952,160.7557761219747,168.19122314453125,179935700,0.0,0.0,2022-01-28,"['neutral', 'positive', 'negative', 'neutral', 'neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'neutral', 'neutral', 'positive', 'neutral', 'positive', 'neutral', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'negative', 'positive', 'positive', 'neutral', 'negative', 'positive', 'neutral', 'neutral', 'positive', 'positive', 'neutral', 'neutral', 'positive', 'positive', 'neutral', 'positive', 'neutral', 'neutral', 'neutral', 'negative', 'positive', 'positive']"
